"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
outcome_engel_12sub3,outcomes,,radio,"Engel Class III subtypes","1, IIIA - Worthwhile seizure reduction | 2, IIIB - Prolonged seizure-free intervals amounting to greater than half the follow-up period, but not less than 2 years",,,,,,"[outcome_engel_12] = '3'",,,,,,
outcome_engel_12sub4,outcomes,,radio,"Engel Class IV subtypes","1, IVA - Some seizure reduction | 2, IVB - No appreciable change | 3, IVC - Seizures worse after surgery",,,,,,"[outcome_engel_12] = '4'",,,,,,
outcome_ilae_12,outcomes,,radio,"ILAE Outcome 12 month","1, Completely Seizure free | 2, Auras only | 3, 1 to 3 seizures days per year w or wo auras | 4, 50% or greater reduction in seizure days | 5, less than 50% reduction in seizure days | 6, Increase in seizure days","ILAE Outcome scale at 12 month follow-up",,,,,"[outcome_12mo_yn] = '1'",,,,,,
outcome_24mo,outcomes,,radio,"Was 24 month follow-up performed?","1, Yes | 2, No | 3, N/A | 999, Unknown",,,,,,"[outcome_yn] = '1'",,,,,,
outcome_engel_24,outcomes,,radio,"Engel Outcome Scale at 24 months","1, Class I - Free of disabling seizures | 2, Class II - Rare disabling seizures (""almost seizure free"") | 3, Class III - Worthwhile improvement | 4, Class IV - No worthwhile improvement",,,,,,"[outcome_24mo] = '1'",,,,,,
outcome_ilae_24,outcomes,,radio,"ILAE Outcome 24 months","1, Completely Seizure free | 2, Auras only | 3, 1 to 3 seizures days per year w or wo auras | 4, 50% or greater reduction in seizure days | 5, less than 50% reduction in seizure days | 6, Increase in seizure days","ILAE Outcome scale at 12 month follow-up",,,,,"[outcome_24mo] = '1'",,,,,,
outcome_12_drive_yn,outcomes,,radio,"Is patient driving?","1, Yes | 0, No | 999, Unknown",,,,,,"[outcome_12mo_yn] = '1'",,,,,,
outcome_12_drive_sz,outcomes,,radio,"If no, would patient otherwise be able to drive if seizure-free for 6 months?","1, Yes | 0, No | 999, Unknown","Select no if patient has static encephalopathy or other reason for not driving.",,,,,"[outcome_12_drive_yn] = '0'",,,,,,
outcome_12_drive_unk,outcomes,,text,"If unknown, why?",,"Please describe why it is unknown why patient is not driving.",,,,,"[outcome_12_drive_sz] = '999'",,,,,," @PLACEHOLDER"
outcome_neuropsych,outcomes,,yesno,"Was post-Phase 3 Neuropsychological Testing completed?",,,,,,,"[outcome_yn] = '1'",,,,,,
outcome_neuropsych_timing,outcomes,,text,"Time from Phase 3 surgery to Neuropsych testing",,"Time in # of months",number,,,,"[outcome_neuropsych] = '1'",,,,,,
outcome_neuropsych_result,outcomes,,notes,"Post-Phase 3 Neuropsych Results",,"Paste Main Findings",,,,,"[outcome_neuropsych] = '1'",,,,,,
outcome_qolie,outcomes,,yesno,"Was post-Phase 3 QOLIE-10 performed?",,,,,,,"[outcome_yn] = '1'",,,,,,
outcome_qolie_time,outcomes,,text,"Time from Phase 3 to follow-up QOLIE-10 ",,"Time in # of months",number,,,,"[outcome_qolie] = '1'",,,,,,
outcome_qolie_result,outcomes,,text,"Post-Phase 3 QOLIE-10 score",,,number,,,,"[outcome_qolie] = '1'",,,,,,
outcome_eeg,outcomes,,yesno,"Was post-Phase 3 routine EEG obtained",,,,,,,"[outcome_yn] = '1'",,,,,,
outcome_eeg_time,outcomes,,text,"Time to post-Phase 3 routine EEG",,"Time in # of months",number,,,,"[outcome_eeg] = '1'",,,,,,
outcome_eeg_result,outcomes,,notes,"Post-Phase 3 routine EEG results",,"Paste routine EEG report impression",,,,,"[outcome_eeg] = '1'",,,,,,
outcome_mri,outcomes,,yesno,"Was post-Phase 3 MRI completed?",,,,,,,"[outcome_yn] = '1'",,,,,,
outcome_mri_time,outcomes,,text,"Time from Phase 3 surgery to post-Phase 3 MRI",,"Time in # of months",number,,,,"[outcome_mri] = '1'",,,,,,
outcome_mri_result,outcomes,,notes,"Post-Phase 3 MRI results",,"Paste MRI impression",,,,,"[outcome_mri] = '1'",,,,,,
