"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
wada_yn,phase_i_imaging_neuropsych,WADA,radio,"WADA performed? ","1, Yes | 2, No but ordered | 0, No",,,,,,,,,,,,
wada_report,phase_i_imaging_neuropsych,,notes,"Paste WADA Neuropsych Interpretation/Recommendation",,,,,,,"[wada_yn] = '1'",,,,,,
wada_date,phase_i_imaging_neuropsych,,text,"WADA - Date performed/Scheduled Date",,,date_mdy,,,y,"[wada_yn] = '1' or [wada_yn] = '2'",,,,,,
wada_recall_rh,phase_i_imaging_neuropsych,,text,"WADA - Object Recall (Left Injection, Right hemisphere active) ",,"Out of 8 ",integer,0,8,,"[wada_yn] = '1'",,,,,,
wada_recall_lh,phase_i_imaging_neuropsych,,text,"WADA - Object Recall (Right Injection, Left hemisphere active) ",,"Out of 8 ",integer,0,8,,"[wada_yn] = '1'",,,,,,
wada_language,phase_i_imaging_neuropsych,,radio,"WADA - Language Lateralization","1, Left | 2, Right | 3, Unlateralizable",,,,,,"[wada_yn] = '1'",,,,,,
phase1_meg,phase_i_imaging_neuropsych,MEG,radio,"MEG Performed","0, Yes | 1, No | 3, No but ordered/ pending",,,,,,,,,,,,
phase1_meg_date,phase_i_imaging_neuropsych,,text,"If Yes, when?",,"When was MEG performed",,,,y,"[phase1_meg] = ""0""",,,,,,
phase1_meg_results,phase_i_imaging_neuropsych,,notes,"MEG results",,"Please paste MEG results",,,,,"[phase1_meg] = ""0""",,,,,,
mecc_yn,mecc,"MULTIDISCIPLINARY EPILEPSY CASE CONFERENCE
'Epilepsy Surgery Conference'

Note: Please ensure a separate entry is made for each MECC presentation for this patient ",yesno,"Multidisciplinary Epilepsy Case Conference:
Did patient undergo MECC evaluation?",,,,,,,,,,,,,
mecc_date,mecc,,text,"What date did patient undergo MECC presentation?",,,date_mdy,,,y,"[mecc_yn] = '1'",,,,,,
timetomecc,mecc,,calc,"Time to MECC presentation","datediff ([medhx_date_sgycand], [mecc_date], 'd', true)","Time from determination as surgical candidate based on Phase 1 admission",,,,,"[mecc_yn] = '1'",,,,,,
mecc_recs,mecc,,dropdown,"What was (or were) recommendation(s) from MECC?","1, Additional medication trials | 2, Wada | 3, Repeat structural MRI | 4, Repeat Phase 1 | 5, Repeat PET | 6, Repeat fMRI | 7, Repeat Neuropsychology testing | 8, MEG | 9, SPECT | 10, Phase 2 evaluation - sEEG | 11, Phase 2 evaluation - grids and strips w/wo depths | 12, Inconclusive / allow patient to decide | 99, Multiple recommendations | 999, Other | 0, No further surgical evaluation",,,,,,"[mecc_yn] = '1'",,,,,,
mecc_rec_med,mecc,,text,"If additional medications were recommended, please record them here",,,,,,,"[mecc_recs] = '1'",,,,,,
mecc_otherrec,mecc,,notes,"If multiple or ""other"" recommendations from MECC, please describe.",,,,,,,"[mecc_recs] = '99' or [mecc_recs] = '999'",,,,,,
mecc_first_yn,mecc,,yesno,"Was this the first MECC presentation for this patient?",,"Only MECC at UNC",,,,,"[mecc_yn] = '1'",,,,,,
mecc_date_prior,mecc,,text,"If no, when was prior MECC date for this patient?",,"Confirm that prior MECC data was correctly entered in prior instance of this section",date_mdy,,,y,"[mecc_first_yn] = '0'",,,,,,
mecc2mecc_time,mecc,,calc,"Time from prior MECC presentation to current MECC presentation","datediff ([mecc_date_prior], [mecc_date], 'd', true)",,,,,,"[mecc_first_yn] = '0'",,,,,,
phase2_yes_no,phase_ii,,radio,"Phase 2 performed?","1, Yes | 0, No",,,,,,,,,,,,
phase2_date,phase_ii,,text,"Phase 2 date",,"What date was Phase 2 implanted",date_mdy,,,y,"[phase2_yes_no] = '1'",,,,,,
phase2_timetosgy,phase_ii,,calc,"Time from surgical candidacy to Phase 2 evaluation","datediff ([medhx_date_sgycand],[phase2_date], 'd', true)","Based on Phase 1 evaluation discharge date",,,,,"[phase2_yes_no] = '1'",,,,,,
phase2_meccprior,phase_ii,,text,"When was most recent MECC presentation prior to Phase 2 surgery",,"Confirm date with MECC section",date_mdy,,,y,"[phase2_yes_no] = '1'",,,,,,
phase2_mecc2p2,phase_ii,,calc,"Time from most recent MECC to Phase 2 surgery","datediff ( [phase2_meccprior],[phase2_date], 'd', true)","Confirm reasonable time frame based on MECC section",,,,,"[phase2_yes_no] = '1'",,,,,,
sz_p2_type,phase_ii,,radio,"Phase II Type","1, Grids/ strips | 2, sEEG | 3, Grids/ strips AND sEEG",,,,,,"[phase2_yes_no] = '1'",,,,,,
phase2_depth_number,phase_ii,,text,"Number of Depth Electrodes placed",,,,,,,"[sz_p2_type] = '2' or [sz_p2_type] = '3'",,,,,,
phase2_depth_contacts,phase_ii,,text,"Total number of depth contacts used",,,,,,,"[sz_p2_type] = '2' or [sz_p2_type] = '3'",,,,,,
phase2_depth_locate,phase_ii,,notes,"Location of depth electrodes?
(Non-thalamic)",,"Include all targets (eg, right insula, left hippocampus, etc)",,,,,"[sz_p2_type] = '2' or [sz_p2_type] = '3'",,,,,," @PLACEHOLDER"
phase2_thalamic,phase_ii,,yesno,"Thalamic electrode placed? ",,,,,,,"[sz_p2_type] = '2' or [sz_p2_type] = '3'",,,,,,
phase2_thal_lateral,phase_ii,,radio,"Thalamic electrode laterality","1, Unilateral left | 2, Unilateral right | 3, Bilateral",,,,,,"[phase2_thalamic] = '1'",,,,,,
phase2_thalamic_left,phase_ii,,radio,"Location of thalamic electrode (Left)","0, Anterior | 1, Centromedian | 2, Pulvinar | 4, Lateral | 5, Other {sx_p2_thalamic_other1}",,,,,,"[phase2_thal_lateral] = '1' or [phase2_thal_lateral] = '3'",,,,,,
sx_p2_thalamic_other1,phase_ii,,text,"If Other, please describe",,"Location of ""other"" thalamic electrode",,,,,,,,,,," @PLACEHOLDER"
phase2_thalamic_right,phase_ii,,radio,"Location of thalamic electrode (Right)","0, Anterior | 1, Centromedian | 2, Pulvinar | 4, Lateral | 5, Other {sx_p2_thalamic_other2}",,,,,,"[phase2_thal_lateral] = '2' or [phase2_thal_lateral] = '3'",,,,,,
sx_p2_thalamic_other2,phase_ii,,text,"If Other, please describe",,"Location of ""other"" thalamic electrode",,,,,,,,,,," @PLACEHOLDER"
phase2_grid_contacts,phase_ii,,text,"Total number of grid/ strip contacts used",,,,,,,"[sz_p2_type] = '1' or [sz_p2_type] = '3'",,,,,,
phase2_grid_locate,phase_ii,,notes,"Location of grid & strip electrodes?
",,"Include all targets (eg, right subtemporal, left frontal, etc)",,,,,"[sz_p2_type] = '1' or [sz_p2_type] = '3'",,,,,," @PLACEHOLDER"
sx_soz_localize,phase_ii,,radio,"Was the seizure onset zone(s) localized?","1, Yes | 2, No | 3, Unclear",,,,,,"[phase2_yes_no] = '1'",,,,,,
sx_soz_number,phase_ii,,radio,"If yes, number of SOZ?","1, One | 2, Two | 3, Three or more","How many SOZ were localized?",,,,,[sx_soz_localize]=1,,,,,,
sz_soz_eloquent,phase_ii,,radio,"Eloquent Cortex?","1, Yes | 2, No | 999, Unclear","Was one (or more) seizure onset zone in eloquent cortex?",,,,,[sx_soz_localize]=1,,,,,,
phase2_complications_yn,phase_ii,,radio,"Phase 2 Surgical Complications","1, Yes | 0, No","Where there surgical complications with Phase 2?",,,,,"[phase2_yes_no] = '1'",,,,,,
phase2_complications,phase_ii,,radio,"Surgical Complication","0, Asymptomatic Hemorrhage | 1, Symptomatic Hemorrhage | 2, Ischemia | 3, Infection | 4, Device related complication (eg lead fracture, lead migration, generator failure) | 5, Other",,,,,,"[phase2_complications_yn] = '1'",,,,,,
phase2_complications_other,phase_ii,,text,"If other, please describe the Phase 2 surgical complication",,,,,,,"[phase2_complications] = '6'",,,,,,
phase2_stim_mapping,phase_ii,,yesno,"Bedside Functional Mapping",,"Was bedside cortical stimulation for functional mapping performed?",,,,,"[phase2_yes_no] = '1'",,,,,,
phase2_stim_sz,phase_ii,,yesno,"Typical seizures?",,"Were typical seizures triggered with bedside mapping?",,,,,"[phase2_stim_mapping] = '1'",,,,,,
phase2_stim_soz,phase_ii,,text,"If yes, where was SOZ?",,,,,,,"[phase2_stim_sz] = '1'",,,,,,
phase2_stim_functional,phase_ii,,yesno,"Functional sites?",,"Where functional sites/ eloquent cortex identified on bedside mapping?",,,,,"[phase2_stim_mapping] = '1'",,,,,,
phase2_stim_fxnalsoz,phase_ii,,yesno,"If yes, were functional sites within SOZ or early spread zones",,,,,,,"[phase2_stim_functional] = '1'",,,,,,
sx_p2_plan,phase_ii,,radio,"Post-Phase II plan","0, Medical/Conservative Management | 1, Repeat Phase II | 2, VNS | 3, Resection | 4, RNS | 5, DBS | 6, LITT",,,,,,"[phase2_yes_no] = '1'",,,,,,
sx_performed,phase_iii,,radio,"Was Surgery Performed?","1, Yes | 2, No but scheduled | 3, No",,,,,,,,,,,,
sx_date,phase_iii,,text,"Date Phase 3 surgery was performed",,,date_mdy,,,y,"[sx_performed] = '1'",,,,,,
age_phase3,phase_iii,,calc,"Age at Phase III Surgery","rounddown (datediff([phi_dob], [sx_date], 'y', true))","Patient's age when Phase 3 surgery was performed",,,,,"[sx_performed] = '1'",,,,,,
phase3_duration,phase_iii,,calc,"Time to Phase III surgery","rounddown (datediff([medhx_date_sgycand], [sx_date], 'd', true))","Time from surgical candidacy to Phase III surgery",,,,,"[sx_performed] = '1'",,,,,,
phase3_mecc_date,phase_iii,,text,"What was date of most recent MECC prior to Phase 3 surgery?",,"Confirm with MECC section",date_mdy,,,y,"[sx_performed] = '1'",,,,,,
phase3_mecctime_lag,phase_iii,,calc,"Time from last MECC to Phase 3 surgery","datediff ([phase3_mecc_date], [sx_date], 'd', true)",,,,,,"[sx_performed] = '1'",,,,,,
sx_type,phase_iii,,dropdown,"Phase 3 Surgery Type","1, VNS | 2, Resection/ lesionectomy | 3, RNS | 4, DBS | 5, LITT | 6, Hemispherotomy/ -ectomy | 7, Open corpus callosotomy | 8, Laser corpus callosotomy | 9, Radiofrequency ablation | 10, Multiple subpial transections | 11, High Frequency Ultrasound | 99, Other","Select only 1",,,,,"[sx_performed] = '1'",,,,,,
sx_rns_thalamic,phase_iii,,yesno,"Thalamic electrode placed? ",,,,,,,"[sx_type] = '3'",,,,,,
sz_rns_lateral,phase_iii,,radio,"Thalamic RNS location","0, Unilateral left | 1, Unilateral right | 2, Bilateral",,,,,,"[sx_rns_thalamic] = '1'",,,,,,
sx_rns_thalamus_location,phase_iii,,radio,"Location of thalamic electrode","0, Anterior | 1, Centromedian | 2, Pulvinar | 4, Lateral | 5, Other {sx_rns_thalamic_other}",,,,,,"[sx_rns_thalamic] = '1'",,,,,,
sx_rns_thalamic_other,phase_iii,,text,"Other - Thalamic Location",,,,,,,"[sx_rns_thalamus_location] = '5'",,,,,," @PLACEHOLDER = ""PLEASE SPECIFY"""
sx_rns_nonthal_yn,phase_iii,,yesno,"Were non-thalamic electrodes placed?",,,,,,,"[sx_type] = '3'",,,,,,
sx_rns_depthstrip,phase_iii,,dropdown,"Were non-thalamic depth or strip electrodes used?","1, Depth | 2, Strip | 3, Both","Select only 1",,,,,"[sx_rns_nonthal_yn] = '1'",,,,,,
sx_rns_nonthal_depth,phase_iii,,dropdown,"How many non-thalamic depth electrodes were used?","1, One | 2, Two | 3, Three | 4, Four","Select only 1",,,,,"[sx_rns_depthstrip] = '1' or [sx_rns_depthstrip] = '3'",,,,,,
sx_rns_nonthal_strip,phase_iii,,dropdown,"How many non-thalamic strip electrodes were used?","1, One | 2, Two | 3, Three | 4, Four","Select only 1",,,,,"[sx_rns_depthstrip] = 2 or [sx_rns_depthstrip] = 3",,,,,,
sx_rns_nonthal1,phase_iii,,text,"Location of RNS depth electrode(s) 
(Non-thalamic)",,"Where were non-thalamic RNS electrodes placed (include all)",,,,,"[sx_rns_depthstrip] = '1' or [sx_rns_depthstrip] = '3'",,,,,," @PLACEHOLDER"
sx_rns_nonthal2,phase_iii,,text,"Location of RNS strip electrode(s) 
",,"Where were RNS strip electrodes placed (include all)",,,,,"[sx_rns_depthstrip] = '2' or [sx_rns_depthstrip] = '3'",,,,,," @PLACEHOLDER"
sx_dbs_location,phase_iii,,radio,"Location of thalamic electrodes","0, Anterior | 1, Centromedian | 2, Pulvinar | 4, Lateral | 5, Other {sx_dbs_thalamic_other}",,,,,,"[sx_type] = '4'",,,,,,
sx_dbs_thalamic_other,phase_iii,,text,"Other - Thalamic Location",,,,,,,"[sx_dbs_location] = '5'",,,,,," @PLACEHOLDER = ""PLEASE SPECIFY"""
sx_destruction_loc,phase_iii,,dropdown,"Location of Resection ","1, Left anterior temporal lobectomy | 2, Right anterior temporal lobectomy | 3, Left temporal - neocortical (plus) | 4, Right temporal - neocortical (plus) | 5, Left selective amygdalohippocampectomy - open | 6, Right selective amygdalohippocampectomy - open | 7, Left frontal | 8, Right frontal | 9, Left parietal | 10, Right parietal | 11, Left occipital | 12, Right occipital | 0, Multiple | 99, Other","Where was location of resection?",,,,,"[sx_type] = '2'",,,,,,
resect_loc_mult,phase_iii,,text,"If multiple, please describe",,"Describe location(s) of resection",,,,,"[sx_destruction_loc] = '0'",,,,,,
resect_loc_other,phase_iii,,text,"If other, please describe",,"Describe location(s) of resection",,,,,"[sx_destruction_loc] = '99'",,,,,,
resect_path,phase_iii,,dropdown,"What was pathology of resection?","0, Normal tissue | 1, Hippocampal sclerosis | 2, Cortical dysplasia | 3, Gliosis (eg prior infarct or TBI) | 4, Ganglioglioma | 5, Cavernoma | 6, DNET | 7, Microdysgenesis | 8, Mixed tumor type | 9, Chronic inflammation | 10, Not applicable (path not sent) | 99, Other / multiple","What were main pathology findings?",,,,,"[sx_type] = '2'",,,,,,
resect_path_other,phase_iii,,text,"If multiple or other pathology type, please describe",,,,,,,"[resect_path] = '99'",,,,,,
sz_resect_ecog,phase_iii,,yesno,"Was ECoG-guided resection used?",,,,,,,"[sx_type] = 2",,,,,,
sx_litt_loc,phase_iii,,dropdown,"Location of LITT","1, Left mesial temporal | 2, Right mesial temporal | 3, Multiple | 99, Other","Where was location of LITT",,,,,"[sx_type] = '5'",,,,,,
